timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1257440,64560972,3,1232032,70732174,2,1185760,32047027,3,1302544,87941676
60,2,1282784,69169891,3,1275328,91304951,2,1227736,52930616,3,1323664,109051510
120,2,1297040,70915218,3,1306084,104091733,2,1222324,52542957,3,1357852,158849563
180,2,1322384,89968966,3,1334068,134989793,2,1226548,56872638,3,1374352,187641907
240,2,1334528,104958607,3,1329580,145437598,2,1253608,79351348,3,1398244,215954259
300,2,1331096,125895555,3,1326148,163268795,3,1388776,279354595,2,1286572,138268223
360,2,1329248,133520115,3,1356244,168856680,3,1432204,335220468,2,1293040,80459579
420,2,1345352,158161120,3,1371160,204252852,2,1337692,306258038,3,1389268,181181730
480,2,1347332,168341872,3,1374856,239216000,2,1349836,314224186,3,1381744,149348822
540,2,1365284,175752404,3,1364032,222577656,2,1348384,390886311,3,1406428,147815114
600,2,1367792,213655010,3,1372612,274217443,2,1371352,382698905,3,1409200,180481529
