timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1462508,519489490,5,1501972,485200032,5,1528076,626936174,5,1479364,535977953
60,5,1519496,532453196,5,1457656,533024069,5,1532036,549185995,5,1473172,513105521
120,5,1520288,476376952,5,1473100,490062323,5,1518568,624314182,5,1494424,492575659
180,7,1570260,558032363,5,1507568,576780444,3,1384060,573881877,5,1449060,489216127
240,7,1587372,505557350,5,1514300,527005404,3,1412044,583076202,5,1507148,497608394
300,7,1601224,510350419,5,1511496,496224970,3,1406368,569206092,5,1506356,504709005
360,7,1608484,522885478,5,1474008,504173633,3,1382476,570726790,5,1442996,489038332
420,7,1621032,534113266,5,1517832,519452449,3,1416400,553515055,5,1441808,486086022
480,7,1619416,480991512,5,1509612,576921597,3,1396600,543306297,5,1464412,473232430
540,8,1661840,566235917,4,1400316,512478308,3,1420096,569374445,5,1479724,486500759
600,8,1687844,531840145,4,1378404,482778472,3,1381948,577766265,5,1498600,484696396
