timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1265828,334572881,3,1354536,589114328,2,1202028,276645011,3,1513944,878538828
60,2,1282772,375505020,3,1375524,567198215,2,1208496,230317931,3,1497180,880378459
120,2,1305632,398558896,3,1354932,564834285,2,1211268,229782472,3,1477776,868997120
180,2,1295204,318181221,3,1379020,582214228,2,1214568,249339483,3,1487544,890495005
240,2,1264448,339145799,3,1382716,580246517,2,1214700,206906805,3,1462728,875923083
300,2,1284380,388483371,3,1394728,588558551,2,1218924,235818689,3,1462200,853618104
360,2,1291904,344515668,3,1387732,610020446,2,1221168,254795814,3,1489920,841408143
420,2,1272896,347609124,3,1368592,608097114,2,1218924,230846426,3,1505232,877738741
480,2,1277120,354053993,3,1383112,569949449,2,1262780,235961558,3,1489896,898814776
540,2,1259168,323881315,3,1378492,599498699,2,1217636,217160194,3,1531212,878905146
600,2,1266032,359158343,3,1376908,519586178,2,1238360,226818556,3,1527780,927917244
