timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1317328,336797923,3,1485780,598325352,2,1274140,201310144,3,1543108,821366957
60,2,1340692,324457502,3,1474296,560449903,2,1260280,200259894,3,1574920,869028695
120,2,1331980,337005168,3,1455420,540157420,2,1263448,223243799,3,1591156,823634701
180,2,1342672,361013618,3,1504524,544829897,2,1274404,194616854,3,1560268,848769208
240,2,1333696,337545378,3,1482612,514763009,2,1258432,213418786,3,1565916,863024705
300,2,1344520,344115873,3,1462680,526009445,2,1283776,235532455,3,1551132,816154626
360,2,1336996,341977277,3,1497924,597945763,2,1258168,193726104,3,1545720,805269755
420,2,1311520,303473936,3,1493436,545033244,2,1290376,266809750,3,1570140,830311462
480,2,1326568,328201840,3,1467432,526601761,2,1274272,227686719,3,1579644,849879073
540,2,1321948,329859194,3,1455552,542563271,2,1280080,232295223,3,1571064,829751569
600,2,1335148,315875122,3,1444992,543410438,2,1288396,206348114,3,1582548,843804702
