timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1202088,46119897,5,1223032,59737728,5,1261068,81847782,5,1232768,54870128
60,5,1256604,72627969,5,1300120,85698206,5,1332480,77243594,5,1307612,92921831
120,5,1346100,92940400,5,1314640,91312347,5,1356108,86740782,5,1339292,91378904
180,5,1336596,86670180,5,1332196,106108437,5,1363104,137296417,5,1371764,116661195
240,5,1380816,137904909,5,1350808,129900838,5,1398348,159473230,5,1371632,105099144
300,5,1409460,131256035,5,1362160,148736486,5,1411944,134449672,5,1393016,127657844
360,5,1430976,135037404,5,1359124,161587824,5,1428444,171127407,5,1440140,151855585
420,5,1445100,176795701,5,1374964,187474689,5,1432404,178740839,5,1426676,178207886
480,5,1451568,147484785,5,1361104,208901772,5,1455900,252001310,5,1440140,210093369
540,5,1468596,189665275,5,1365064,238853688,5,1439268,201420352,5,1449908,209945103
600,5,1472952,226778711,5,1410736,244230378,5,1463292,289150807,5,1443044,186797520
