timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1552124,435967646,5,1556800,570602965,5,1498832,441261876,5,1553940,640117319
60,5,1505088,406778783,5,1535320,553241158,5,1539072,381127194,5,1562932,671072585
120,5,1570488,693264755,5,1521844,757468059,5,1506360,507374098,5,1498240,776988295
180,4,1468180,739923132,4,1477384,699112593,6,1538344,754401732,6,1457808,599423203
240,5,1478176,621763340,5,1483128,776450429,5,1565808,729175163,5,1434740,596413584
300,5,1548508,740679485,5,1514208,760902281,5,1445432,685375351,5,1451576,492790213
360,5,1529480,768386277,5,1419340,743392543,5,1509520,628294861,5,1531180,595973325
420,5,1485420,689437229,5,1460524,646173441,5,1508036,625784237,5,1444512,619810876
480,5,1431388,694420764,5,1482284,693203944,5,1467864,620479439,5,1462336,686083655
540,5,1460948,703635898,5,1475124,760288433,5,1467840,560705120,5,1458628,646540482
600,4,1464176,771865128,5,1496528,618903473,5,1452396,570650235,6,1503472,600678945
