timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1498204,473864149,5,1563552,611014146,5,1491312,334086930,5,1582704,667456823
60,5,1481240,440961518,5,1509036,507238533,5,1479828,337611171,5,1593640,720809415
120,6,1574488,494188067,5,1562232,573651708,5,1513256,354033811,4,1496884,609867799
180,6,1548880,458586721,5,1587312,556737904,5,1523684,345603383,4,1451740,627543896
240,6,1561684,475235202,5,1530496,569563461,5,1466660,319205840,4,1499920,632395338
300,6,1562212,434887871,5,1574188,597694831,5,1501244,359860166,4,1483420,600080040
360,6,1556072,459183121,5,1557556,598375817,5,1489364,340480698,4,1484872,586991803
420,6,1567688,494811548,5,1539736,556154359,5,1510616,338613536,4,1505992,633094741
480,6,1575344,477561349,5,1536172,581027565,5,1495700,329271701,4,1527904,580455973
540,6,1584024,507977872,5,1540924,543831410,5,1473392,336632228,4,1503484,597977538
600,6,1540860,436090268,5,1555576,566865900,5,1470224,335465182,4,1547704,621983545
