timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1481644,471680302,5,1455216,514298309,5,1522084,540327984,5,1476428,507324563
60,5,1445400,459623826,5,1440080,535521686,5,1533568,508229362,5,1527956,506732497
120,5,1482228,427098858,5,1460408,478663609,5,1538848,518770621,5,1477268,518133715
180,5,1483608,476367035,5,1470968,482233755,5,1549716,519005616,5,1517264,497362902
240,5,1520436,440467255,5,1482980,506500298,5,1531300,529644402,5,1491260,474040865
300,5,1480968,449366164,5,1496048,487793240,5,1571824,536815240,5,1494032,497302573
360,5,1519116,452011302,5,1514924,471967807,5,1573540,539087760,5,1492712,459325148
420,5,1496264,440537790,5,1483880,495522773,5,1574860,610746839,5,1473308,410258679
480,5,1481084,424889347,5,1469888,488994613,5,1601356,587435209,5,1484396,459727184
540,5,1507880,444190812,5,1502888,497337857,5,1584196,523118548,5,1477004,463349710
600,5,1522928,504148652,5,1501028,471147533,5,1543276,495602043,5,1504460,492842060
