timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1343100,349458867,3,1533932,705627566,2,1403388,519635868,3,1379420,440205658
60,2,1354716,384426606,3,1540400,730412791,2,1423716,521213476,3,1371236,388296916
120,1,1275120,408624540,1,1536044,650627767,0,1367148,597069551,2,1434728,484796433
180,1,1476552,544168001,1,1418432,602963198,3,1451364,576818650,2,1310648,545514624
240,2,1566972,905906157,1,1353224,434271310,2,1368372,535367517,1,1215608,309575502
300,1,1543608,917392239,1,1477964,708545068,1,1334052,346036987,3,1354472,203920757
360,0,1340856,569760576,1,1477568,818943132,2,1421964,588430153,4,1386944,180021092
420,1,1336632,502585093,1,1491296,969248691,2,1305804,514683020,3,1370972,196405742
480,1,1480116,799881808,1,1471232,802086852,2,1315308,361090468,2,1346948,189507845
540,2,1555092,920027078,2,1485224,736225856,3,1333260,284699326,3,1296524,204876329
600,1,1630464,868981963,1,1476776,693054012,0,1216308,352963686,0,1217324,179974177
