timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1211912,43972949,3,1280900,59549505,2,1219136,46130814,3,1240128,46030422
60,2,1238312,51061758,3,1336076,79358930,2,1265204,60414062,3,1296624,69780191
120,2,1252700,67427501,3,1331324,112570810,2,1284212,76578281,3,1316952,70675668
180,2,1278704,90672900,3,1349144,103551306,2,1305068,122282073,3,1322364,86196517
240,2,1289528,123802998,3,1367492,151172785,2,1307840,108396993,3,1331736,110194396
300,2,1294544,112395351,3,1382672,155707857,2,1334768,166154408,3,1339524,119589116
360,2,1302992,147084280,3,1400360,219044373,2,1328036,165495054,3,1354704,116034888
420,2,1333748,159170054,3,1389404,219297205,2,1344272,205152724,3,1346124,152262554
480,2,1338896,158423757,3,1406036,250548542,2,1368428,211441176,3,1371864,187804500
540,2,1335728,179573300,3,1437056,293787621,2,1351928,225818728,3,1384800,196516391
600,2,1328336,196546072,3,1426496,332281600,2,1359980,227528060,3,1386516,211841957
