timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1151064,43337719,3,1212860,57271480,2,1167680,41862217,3,1215808,57669592
60,2,1186176,50677047,3,1233188,56702671,2,1176920,33930019,3,1266100,78944365
120,2,1197528,39358320,3,1259720,69707058,2,1192364,36097512,3,1284844,94358270
180,2,1208880,70641268,3,1274240,66426013,2,1193684,40689344,3,1292104,103420508
240,2,1203336,59853788,3,1314632,90905391,2,1210976,55416490,3,1294084,121081568
300,2,1222344,68151738,3,1312124,107031979,2,1226024,57738238,3,1303324,119500889
360,2,1241880,80161648,3,1320704,124105381,2,1238960,50616254,3,1320088,142188103
420,2,1239504,84586746,3,1322156,135423491,2,1260476,66712028,3,1315204,158105238
480,2,1242276,82800808,3,1345652,143614347,2,1263644,53912734,3,1340416,199948146
540,2,1249008,122099290,3,1346576,149018888,2,1261400,60340843,3,1347940,193029118
600,2,1241352,96886506,3,1351460,148278726,2,1261400,89251151,3,1365364,231633234
