timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1163844,48543150,3,1166200,46249425,2,1157920,44651122,3,1192412,63922961
60,2,1182720,39534363,3,1175044,40650274,2,1194088,51611030,3,1246004,80815361
120,2,1184700,40998745,3,1181908,54944771,2,1195936,37156652,3,1268576,95950408
180,3,1227600,112389093,3,1238536,86713749,2,1187884,45182683,2,1209308,109704839
240,3,1252020,63686497,3,1255564,90006291,2,1199896,49757425,2,1218152,113594287
300,3,1285416,100960144,3,1285000,92400456,2,1205836,53645762,2,1222244,115408825
360,3,1289640,104169661,3,1298596,120618729,2,1224316,58132189,2,1223036,111149775
420,3,1304292,93522667,3,1305856,128505165,2,1229200,60786429,2,1230824,158168215
480,3,1302312,123397622,3,1302424,114435185,2,1237780,64106168,2,1251416,172213098
540,3,1306140,126016190,3,1314700,139707730,2,1239232,73030491,2,1251944,175468911
600,3,1321056,117997649,3,1329880,170818660,2,1240552,68929317,2,1263428,202391207
