timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1187176,53079472,5,1199336,57355148,5,1190544,58784382,5,1202416,68554952
60,5,1229680,58409122,5,1261244,72834857,5,1241232,62484668,5,1261552,66807451
120,5,1219780,52695185,5,1333448,102442703,5,1258656,48862348,5,1263004,67132208
180,5,1266772,66404657,5,1344272,80669745,5,1291656,74418937,5,1297456,95426638
240,5,1313236,80888972,5,1370276,106219665,5,1335084,90032365,5,1313296,89241399
300,5,1309276,71396556,5,1371200,105123986,5,1351584,84043677,5,1366228,127898231
360,5,1325380,88488693,5,1400372,123022121,5,1355676,89081789,5,1390516,117421132
420,5,1330924,81506197,5,1429016,131232185,5,1369932,108749432,5,1381408,137775752
480,5,1356004,120301865,5,1449476,138196919,5,1361748,106653296,5,1411636,139891508
540,5,1395868,137495059,5,1438652,130173748,5,1384848,118380207,5,1397248,171249290
600,5,1403392,122472088,5,1449608,156971635,5,1416396,115727678,5,1419160,192611581
