timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1253168,68690409,5,1271464,91760687,5,1238992,70924085,5,1256796,61897239
60,5,1338176,86707283,5,1336672,87973475,5,1316080,83627462,5,1337844,95677388
120,5,1340288,87107136,5,1355548,93869051,5,1355152,117820791,5,1353948,84859322
180,5,1355468,104191357,5,1374556,106597878,5,1376668,144536082,5,1354212,108040271
240,5,1394540,149935467,5,1397128,129595754,5,1389076,136837780,5,1365432,131089120
300,5,1404572,120626421,5,1409536,154687588,5,1427620,181573872,5,1399356,166847744
360,5,1427408,151647869,5,1430128,189170766,5,1450192,180262872,5,1422852,191532208
420,5,1442588,181150932,5,1431184,189390151,5,1431316,211383252,5,1429320,196332641
480,5,1443908,184724562,5,1439500,213000370,5,1438312,231152121,5,1435920,232123680
540,5,1453808,224880031,5,1451644,257012377,5,1466164,251579946,5,1437504,208782252
600,5,1482992,281074906,5,1473952,258068934,5,1481476,259017962,5,1448460,242444637
