timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1200688,29264898,3,1258284,59039286,2,1182352,42285698,3,1226284,72133272
60,2,1220884,41026673,3,1275444,46798415,2,1224592,53677593,3,1248988,68856216
120,3,1277776,167067942,3,1256568,91310332,2,1224592,97368849,2,1235656,147989559
180,2,1268140,118137959,3,1265156,168555457,3,1281220,151886025,2,1236580,56746263
240,2,1287148,115702513,3,1281240,156440910,2,1267096,204460274,3,1224304,179166470
300,2,1287676,118977462,3,1296156,172385940,2,1274884,188660444,3,1220344,199024821
360,2,1290712,183368886,2,1283220,226886267,3,1258120,169931959,3,1280536,214403374
420,2,1305232,165061186,3,1324932,207320921,3,1301416,183548184,2,1267336,195434153
480,2,1273420,195611519,2,1304736,162031705,3,1289008,166926949,3,1276972,108738900
540,2,1290448,252423492,2,1259724,156900754,3,1314352,220738736,3,1278292,150100411
600,2,1282924,242721714,2,1287972,207151393,3,1340092,238220926,3,1310104,144461516
