timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1494752,494343288,5,1510832,575155013,5,1491852,349275874,5,1507728,677090669
60,5,1504292,457199236,5,1540584,584285521,5,1495596,372573487,5,1563544,654129923
120,6,1545648,536876264,4,1479468,550762387,6,1574672,413827071,4,1456372,622534554
180,6,1567020,513701512,4,1476828,496085799,8,1649740,598296601,2,1336120,531750168
240,7,1673724,594620124,5,1492800,508051089,6,1579728,596736423,2,1295464,448159388
300,5,1493436,550629886,7,1565932,572862311,5,1522044,573387856,3,1434196,516752834
360,5,1518912,506166864,7,1616744,559284315,5,1486932,451869357,3,1411492,518895926
420,6,1573692,531944401,5,1487120,528612036,6,1541052,484692338,3,1430236,572314944
480,6,1612632,562578939,6,1547576,538431489,6,1599000,458950153,2,1327540,535517591
540,5,1505316,483117363,6,1598660,540822563,7,1660476,514517605,2,1363708,565934171
600,5,1515744,445490187,6,1606580,497782715,7,1639456,533955085,2,1401856,501640831
