timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1372132,420767183,3,1512652,650266783,2,1398488,514305314,3,1410440,436735484
60,2,1366456,411216121,3,1558984,711045584,2,1429112,512524248,3,1373612,408875364
120,3,1380580,441315865,2,1503676,653872757,2,1409444,518396495,3,1411496,395122678
180,3,1430872,434424619,2,1497472,650003142,2,1401788,519096219,3,1394996,380480180
240,3,1440904,425223903,2,1511728,653017541,2,1415384,517860658,3,1376780,427149227
300,3,1447372,400527651,2,1508032,671186322,2,1403900,518010014,3,1409384,383173485
360,3,1441300,397162152,2,1490080,630997189,2,1422248,535341104,3,1403840,411065780
420,3,1464268,472290061,2,1483216,643571460,2,1407860,466759292,3,1397108,411152392
480,3,1425988,411665480,2,1478464,666307811,2,1417496,504422251,3,1447004,436832024
540,3,1432984,392221247,2,1496680,624825890,2,1408520,498447156,3,1431692,442203697
600,3,1438396,412397599,2,1497076,681750713,2,1422644,485285604,3,1416248,415422734
