timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1234600,50397250,3,1292752,63207436,2,1193708,52331841,3,1269168,59646498
60,2,1230244,68473446,3,1315192,95396948,2,1228160,64765910,3,1297680,66952707
120,3,1303240,177648747,3,1246732,211338806,2,1265120,172617004,2,1310220,193247809
180,2,1282780,172060373,3,1319332,189120861,3,1276340,248310749,2,1312728,250893806
240,3,1303636,154042946,3,1358008,131951895,2,1282676,218805024,2,1310088,214489834
300,3,1312876,211098421,3,1372660,180405763,2,1313432,188462352,2,1311144,147327745
360,3,1306540,185137752,2,1332532,243698652,2,1299572,261069335,3,1365000,249005518
420,3,1328452,258751301,3,1380052,247008510,2,1291784,273651211,2,1346124,189280036
480,3,1340200,319033397,3,1346656,284209492,2,1326896,325772116,2,1338204,277242416
540,3,1365016,266525989,3,1366456,301677541,2,1311320,260549365,2,1392720,338124223
600,3,1372540,230572145,3,1354048,266011144,2,1325840,310386059,2,1381508,421009846
