timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1239088,52747095,3,1299136,57722649,2,1222088,54396556,3,1287072,58027528
60,2,1249912,58997203,3,1338076,75500755,2,1248092,83112469,3,1316376,63672679
120,3,1278292,121310413,2,1347184,101801456,1,1225388,97552789,4,1346736,118058653
180,2,1310500,142730488,3,1382164,158766684,1,1239248,104352557,4,1347792,104469400
240,2,1326472,107511531,3,1416880,175203802,1,1243208,126407840,4,1343832,103692460
300,3,1351024,156340148,2,1393120,206325600,1,1258784,142138032,4,1360860,127521368
360,3,1378084,182432933,2,1410940,191875630,1,1252712,162972460,4,1388052,153524016
420,3,1397092,171844276,2,1418200,229715267,1,1269212,177320771,4,1399536,190349190
480,3,1410160,169908284,2,1428760,258284782,1,1280300,225684982,4,1392276,179532819
540,3,1434976,211589016,2,1422556,300906667,1,1287824,223144214,4,1391484,191404515
600,3,1435900,232191675,2,1437868,310599839,1,1281224,241135847,4,1414188,225247171
