timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1251304,41215518,3,1297232,57292621,2,1309336,47088010,3,1270092,68169738
60,2,1294996,62084479,3,1327460,85176266,2,1325308,41638131,3,1285140,87562679
120,1,1278364,137112869,1,1283240,131055302,5,1417708,173243560,3,1256760,205929440
180,1,1301068,160600815,2,1284032,187233293,3,1382596,274889256,4,1254780,243385984
240,3,1281136,296559741,3,1316768,162405006,2,1413760,239045129,2,1278672,187238551
300,1,1298164,267733712,2,1327064,235088197,3,1326112,339246901,4,1338600,248879706
360,1,1333672,229731023,3,1364816,286833202,3,1350532,177117460,3,1326984,271247831
420,3,1416040,342259702,3,1398080,295912179,2,1386568,214774267,2,1260588,247292563
480,2,1386340,337455931,2,1314128,191413001,3,1520812,293351491,3,1311672,296833207
540,1,1282984,377933505,1,1344356,237309182,4,1364732,420913208,4,1449216,256168363
600,1,1342516,316600200,2,1300268,401518547,2,1365788,233963061,5,1409592,367656421
