timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1467264,464592386,5,1537300,536837373,5,1486888,388001301,5,1583612,716239581
60,5,1462908,417790616,5,1536472,560831410,5,1484696,351676973,5,1611052,728798082
120,2,1377504,575864191,5,1469104,663614871,7,1541768,683155747,6,1581992,831068735
180,3,1426740,579829923,5,1437084,648831483,6,1558540,769021945,6,1507768,830030125
240,4,1496040,714065802,5,1511468,551589087,6,1561560,620219083,5,1488776,694733152
300,5,1475632,675138664,5,1566476,665404174,5,1547008,738669863,5,1393036,730074859
360,4,1485108,717724475,5,1412900,622627646,5,1531660,841418024,6,1448156,648938102
420,4,1459444,654890292,5,1548464,707130949,5,1389284,675628053,6,1547048,754522893
480,5,1505396,772347320,5,1452496,691641289,5,1454584,468196146,5,1528032,716224614
540,5,1490112,780529540,5,1542936,624226929,5,1455000,563922918,5,1503480,588788101
600,5,1498972,776571371,5,1464604,632536607,5,1465108,566504459,5,1524984,577836632
