timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1238052,64297096,5,1215644,46811760,5,1250688,59135408,5,1237768,59418465
60,5,1274220,58522814,5,1245080,54816082,5,1320648,85641179,5,1304032,71483095
120,2,1150272,167446408,3,1253000,260176677,12,1315984,392146577,3,1264828,140680400
180,4,1237788,264126244,4,1264748,179366478,7,1310892,350824896,5,1290172,169955612
240,4,1280292,164487981,4,1251680,155061415,4,1292720,309194886,8,1336632,284017854
300,3,1265376,181937359,5,1306724,247057464,5,1278728,222710716,7,1352672,343925954
360,5,1356456,322195061,5,1232904,229975101,5,1284880,373591873,5,1343256,334825782
420,5,1239860,321073867,5,1314480,274729339,5,1310280,343152890,5,1325208,271472565
480,5,1294512,258494108,5,1278660,306588301,5,1315032,378992892,5,1304296,308085729
540,4,1314708,227858576,5,1318524,412216224,6,1259744,398059492,5,1261288,327869473
600,5,1349292,343078982,5,1282336,447250954,4,1240340,357474777,6,1348992,365045562
