timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1220500,43249019,3,1244392,60164708,2,1232076,41101995,3,1248388,46228837
60,2,1233304,39131153,3,1288612,64259229,2,1262832,47808661,3,1289704,66588181
120,3,1272904,94624228,3,1294948,67504789,2,1279992,49600384,2,1253140,76108531
180,2,1225516,61938541,3,1320556,84149653,3,1326588,89354216,2,1273600,89819350
240,3,1298776,94129900,3,1342072,72621530,3,1352196,71696223,1,1264624,134759078
300,3,1315012,49304686,3,1365304,92788189,3,1343352,86580822,1,1273600,123542122
360,3,1306036,50753572,3,1367548,102182295,3,1378200,104569486,1,1277032,131115414
420,3,1303000,65208959,3,1364908,98047534,3,1390212,114668477,1,1289176,153832721
480,3,1305904,57480496,3,1368076,125109647,3,1388496,132395613,1,1285216,158887385
540,3,1337320,80504644,3,1366756,129462452,3,1412388,141885207,1,1289440,169055213
600,3,1339828,70582869,3,1369792,143457611,3,1410804,148011744,1,1301320,183047560
