timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1492008,429444947,5,1472288,521505908,5,1529988,582933475,5,1502052,507636432
60,5,1449636,425123944,5,1506796,503898012,5,1511332,553701098,5,1500184,529739688
120,5,1501248,495015740,5,1509568,511699639,5,1527568,549939679,5,1480912,459254771
180,5,1491744,463024924,5,1506400,513712268,5,1548688,571170303,5,1493320,486242894
240,5,1486200,431248225,5,1502852,488952951,5,1519780,543467276,5,1525648,546328819
300,5,1499004,449940857,5,1499288,489705212,5,1517140,572816399,5,1502284,495692427
360,5,1480448,431630023,5,1523048,368000827,5,1517536,443850843,5,1471660,409460274
420,5,1513316,330069395,5,1513864,367224997,5,1534084,438253162,5,1528684,383763316
480,5,1523084,476144227,5,1499608,480987796,5,1573352,619039492,5,1508224,464321440
540,5,1510748,450311521,5,1509508,466407851,5,1560416,567473483,5,1496212,506281040
600,5,1531036,487602037,5,1511092,481078274,5,1558040,562145186,5,1480328,517060340
