timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1480368,473724388,5,1502848,512429871,5,1488768,574295662,5,1472036,457930805
60,5,1464132,445745235,5,1492892,478038607,5,1517412,603999383,5,1514084,499312677
120,3,1446444,587578391,8,1348340,723804003,3,1360464,727044530,6,1479100,704169027
180,5,1362612,657609193,5,1462276,712964518,5,1422256,740046600,5,1426332,647364448
240,5,1273756,740849460,5,1449712,655963905,5,1420968,577062184,5,1473876,783943891
300,5,1352572,715183344,6,1432336,689300460,4,1400772,525013726,5,1405000,828321621
360,5,1373676,707929434,5,1351504,754636428,5,1464652,722410640,5,1470260,569037150
420,5,1411228,713918000,5,1385644,662423442,5,1353348,878766442,5,1412484,700517759
480,5,1382872,706468784,5,1429308,735664016,5,1508432,651076107,5,1491068,613480616
540,5,1490696,581223229,5,1408276,630963109,5,1440616,746512743,5,1386104,560963682
600,5,1513268,607508999,5,1344872,646027224,5,1418584,684249874,5,1381632,768010190
