timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1474468,522770705,5,1481868,471357544,5,1477556,551365686,5,1492252,479012071
60,5,1455856,467009406,5,1526036,511126072,5,1479536,531361257,5,1513348,480715322
120,6,1544876,531569222,5,1482344,465246751,4,1431224,517301955,5,1486476,472464172
180,5,1434440,466512076,6,1517140,512135507,4,1469636,558069200,5,1513140,468644252
240,6,1487900,491638805,6,1541720,530673884,3,1433204,555040653,5,1493340,447979238
300,6,1552560,502729196,6,1529972,503454620,3,1418156,521444785,5,1470768,458269199
360,6,1523332,473547279,6,1533272,481134486,3,1429112,544574938,5,1509972,453363310
420,6,1515016,450715052,6,1555052,511966702,3,1407332,551781624,5,1530036,468159954
480,6,1520692,489656520,6,1507928,464751704,3,1463960,533607326,5,1497960,467724720
540,6,1518712,469201426,6,1574852,530177368,3,1439012,515319259,5,1492020,444680683
600,7,1560908,500430386,5,1465292,503653425,2,1327472,504375985,6,1627748,541685480
