timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1344344,340199053,3,1502860,504277405,2,1314436,224469024,3,1593820,896662635
60,2,1351208,364969614,3,1488736,545145456,2,1316020,214254767,3,1567156,833393748
120,2,1337348,330328016,3,1455472,594505826,2,1337536,257668422,3,1583920,757687375
180,2,1326260,327128230,3,1465900,543966575,2,1330276,246274585,3,1567032,822315341
240,2,1369028,343761786,3,1488868,557551338,2,1316020,215722520,3,1551192,814347465
300,2,1352924,345094674,3,1496788,561443498,2,1323148,221932608,3,1570860,816900153
360,2,1342760,311447536,3,1478572,518336986,2,1332916,250365331,3,1551192,846874284
420,2,1342364,318406413,3,1544440,501461613,2,1300444,171375062,3,1599760,755041449
480,2,1338668,328331981,3,1486888,538664203,2,1320244,189429193,3,1591444,817843922
540,2,1337612,357230951,3,1506028,509160016,2,1339384,238383939,3,1576660,801232290
600,2,1339460,322279154,3,1475272,497094073,2,1313248,228339918,3,1600684,826840057
