timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1438320,353040525,3,1517212,504928204,2,1371584,205286761,3,1601132,837892810
60,2,1473432,368740425,3,1535956,514653791,2,1361288,204478311,3,1607336,809443214
120,2,1451652,299065902,3,1504540,531046210,2,1389140,209653312,3,1632548,788247570
180,2,1433304,350001118,3,1505332,512840287,2,1369208,176939923,3,1629216,815237910
240,2,1419048,326484338,3,1507576,534703648,2,1373828,223476355,3,1622748,779322589
300,2,1414296,340737591,3,1532524,489156613,2,1381088,188201217,3,1626444,836798258
360,2,1426176,274566568,3,1527376,525222721,2,1403528,230758065,3,1596876,783049672
420,2,1463268,351796853,3,1576216,469623028,2,1391780,240521259,3,1581960,815033375
480,2,1444260,357963471,3,1542160,495812155,2,1365908,185290466,3,1596348,796303677
540,2,1420368,321446437,3,1540180,501954276,2,1383464,200817950,3,1621164,813855415
600,2,1437660,327511028,3,1530808,543829736,2,1386368,206719586,3,1592784,763194678
