timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1245680,70688639,5,1199156,55418964,5,1212960,67109911,5,1255316,69755345
60,5,1314320,85197595,5,1250504,64473749,5,1269852,77906166,5,1297556,80333875
120,5,1356164,90332664,5,1282580,91027227,5,1339812,110395307,5,1331216,80209980
180,5,1348904,112476085,5,1315448,100515564,5,1338888,116285426,5,1359200,110018124
240,5,1366328,113226162,5,1326668,140850393,5,1374528,152034411,5,1350620,108987578
300,5,1401704,154387883,5,1362308,152165507,5,1415184,170627475,5,1372796,123741171
360,5,1418996,159384995,5,1383428,163830060,5,1429968,209762267,5,1392992,146436333
420,5,1436684,163561556,5,1366796,124671499,5,1432740,162061212,5,1387844,132603775
480,5,1441304,228395281,5,1380260,164828165,5,1436700,247849094,5,1416488,190610878
540,5,1419920,183680910,5,1403492,251693527,5,1464684,254204070,5,1422824,242534929
600,5,1436552,231669848,5,1415108,210898355,5,1443168,291254838,5,1444472,275000117
