timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1089788,188108719,10,1066248,157878505,10,1094040,149927197,10,1105480,140552294
60,10,1099556,362625425,10,1075620,314080423,10,1105656,299271368,10,1114060,330570035
120,5,1064576,649208403,4,1072056,538141525,7,1085548,596280109,18,1218328,641950332
180,10,1120280,698808778,12,1103092,674985271,10,1125676,766022378,7,1096528,768412272
240,9,1150112,853119577,7,1092948,886248187,7,1135972,868604342,10,1136920,721943384
300,9,1109588,961856610,11,1106016,1027969070,10,1117096,1007837012,10,1127036,1075830318
360,7,1097708,1004904166,8,1108788,1152803385,7,1128448,1300243071,10,1134092,1015440206
420,11,1129740,1192818291,10,1102716,1223634621,10,1131088,1249858957,9,1119176,1196571383
480,8,1119444,1259819639,8,1080012,1441061923,8,1110628,1448267599,13,1182908,1109854246
540,12,1179900,1419775921,7,1084040,1407935009,7,1111552,1317772389,10,1152944,1491996013
600,10,1133436,1559462386,9,1114928,1368582686,9,1138480,1589601752,8,1136972,1453580946
