timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1666564,1005818348,10,1705536,1239214272,10,1608348,1020633602,10,1732388,1213987362
60,10,1745316,1060865388,10,1812620,1190636609,10,1682928,997537998,10,1780640,1275759106
120,10,1807344,1032998564,10,1823624,1152312721,10,1762696,990736639,10,1856460,1242869605
180,10,1831532,1061606100,10,1810696,1196919944,10,1811436,1041971301,10,1848968,1253473557
240,10,1789840,1066554767,10,1862440,1158817632,10,1832808,1031534384,10,1865884,1256621607
300,10,1776748,1112821173,10,1859404,1199640593,10,1817812,979554777,10,1833388,1256451306
360,10,1800508,1149788676,10,1807544,1142039154,10,1835208,1049063384,10,1822300,1209125950
420,10,1827700,1066846843,10,1852028,1219641679,10,1814280,1028551883,10,1822036,1202502700
480,10,1775692,1054898121,10,1845032,1137198184,10,1826688,1019841612,10,1904268,1352313795
540,10,1814236,1016488189,10,1862716,1230336502,10,1798968,964400379,10,1864976,1330798867
600,10,1801432,995812720,10,1885460,1229764018,10,1842396,972998599,10,1886492,1286619016
