timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1069924,184891455,10,1050172,206408056,10,1088008,203090954,10,1046712,180847484
60,10,1079560,361020366,10,1060336,349361519,10,1095796,323508604,10,1059648,403468416
120,10,1086556,478047241,10,1071952,591894893,11,1113352,501954713,9,1052916,522696349
180,11,1108336,667602874,9,1061920,628521047,11,1124044,672271599,9,1057932,690549560
240,11,1114936,836145600,9,1067728,768461911,11,1131700,795242741,9,1061232,817074746
300,11,1118896,924295704,9,1069312,964718693,11,1133548,877961261,9,1064928,972524989
360,11,1122724,1049519500,9,1076176,1058022308,11,1137244,1058144420,9,1068096,1047201628
420,11,1127080,1193753741,9,1077628,1116334932,11,1140148,1054811421,9,1072980,1243383835
480,11,1126420,1263310002,10,1095976,1258735474,11,1141864,1196145104,8,1065060,1323910919
540,11,1131304,1418873446,11,1111948,1395346500,11,1146088,1295325656,7,1051596,1387139250
600,11,1135132,1517952381,11,1116832,1566824178,11,1148860,1385650037,7,1051860,1392365827
