timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1215124,204222774,10,1210288,216175091,10,1225580,215947860,10,1194948,198060280
60,10,1365340,359144174,10,1353640,362959469,10,1361804,388246737,10,1314144,311812795
120,10,1434640,493426347,10,1445908,517798678,10,1458824,548155942,10,1412616,438398825
180,10,1533112,658254048,10,1503064,652034903,10,1525616,670773745,10,1493136,599355178
240,10,1544728,769163588,10,1531576,766129691,10,1599932,846528913,10,1531152,735748926
300,10,1673164,973336448,10,1576588,858600998,10,1627652,932623827,10,1580916,805487576
360,10,1666828,1035187783,10,1640872,964897153,10,1663160,1017075474,10,1616556,935242143
420,10,1723324,1150006286,10,1675060,1126108980,10,1766648,1136083059,10,1687176,1106311990
480,10,1734940,1207334427,10,1735912,1203874048,10,1797536,1262014655,10,1694832,1163575445
540,10,1764904,1325129588,10,1768648,1277983725,10,1833836,1380722730,10,1733112,1234149101
600,10,1833808,1398759357,10,1803496,1400704673,10,1870188,1413236232,10,1751064,1342811088
