timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1193620,126053174,5,1152788,119668216,5,1183128,170729029,5,1166784,144499451
60,5,1291432,278457819,5,1239776,304318919,5,1282656,350671576,5,1241100,282568004
120,5,1362844,436920049,5,1301816,432125313,5,1348524,482711021,5,1302480,414185531
180,5,1410760,556938497,5,1347752,586895142,5,1397100,675646336,5,1329012,501850939
240,5,1425808,615527622,5,1406492,729528011,5,1434192,802045262,5,1386432,695159043
300,5,1463692,769475100,5,1442528,911392433,5,1480656,945306114,5,1415736,775625189
360,5,1512532,897029915,5,1497440,1012609440,5,1521312,1104705432,5,1429728,806441450
420,5,1555300,1011579419,5,1504568,1063942375,5,1583220,1242977718,5,1470780,982176632
480,5,1566784,1143282689,5,1520936,1129921203,5,1589028,1356197397,5,1528200,1079400395
540,5,1618264,1117427057,5,1568852,1311827128,5,1673640,1414683416,5,1532820,1214576668
600,5,1630672,1245367785,5,1594328,1368591647,5,1656612,1475341216,5,1555788,1292344118
