timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1576616,673241697,10,1576000,665299029,10,1567336,684962240,10,1579312,561760425
60,10,1647104,679285441,10,1580224,672157100,10,1581724,681420757,10,1621948,578041454
120,10,1639052,641526642,10,1637248,680249171,10,1620004,702532308,10,1618648,589090615
180,10,1644596,663972710,10,1628140,656033298,10,1622116,694578109,10,1634092,540462229
240,10,1624268,639514910,10,1631308,655368880,10,1640200,680462749,10,1617856,601461967
300,10,1657532,662523067,10,1643980,656954940,10,1604560,649824900,10,1613632,635557757
360,10,1668752,679733366,10,1646224,647204761,10,1647460,651576463,10,1644388,611080270
420,10,1677464,660880272,10,1673416,613967402,10,1658416,698540784,10,1636864,603797265
480,10,1672844,609715044,10,1672096,675360274,10,1640728,653553366,10,1662736,616026106
540,10,1686044,661491331,10,1664836,630537563,10,1652476,674182629,10,1646368,575119888
600,10,1685780,651250153,10,1662196,645205933,10,1652476,615041039,10,1646368,570892702
