timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1535308,572808049,10,1606212,725800332,10,1560044,596938608,10,1587468,675924409
60,10,1614376,637328835,10,1675512,673817118,10,1618784,593478307,10,1710888,691634539
120,10,1620712,561687252,10,1705212,694722575,10,1683992,538585001,10,1724352,702886491
180,10,1647508,550289974,10,1738628,687560358,10,1682408,595695222,10,1723692,658789778
240,10,1712980,637609213,10,1761772,668608904,10,1680824,521992695,10,1770684,682876288
300,10,1699648,614155894,10,1778104,672711656,10,1712900,513418471,10,1766856,675420652
360,10,1728128,589825380,10,1754904,679522906,10,1747748,582490794,10,1803684,670533120
420,10,1741724,576942776,10,1776288,674516471,10,1727176,496275242,10,1805664,738428625
480,10,1731576,579068990,10,1795904,737221157,10,1711336,470682653,10,1816488,661074074
540,10,1732500,564634357,10,1771352,661062759,10,1746300,603934718,10,1802232,719856449
600,10,1774080,574914256,10,1768184,628997901,10,1770456,568272667,10,1751372,735929340
