timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1152476,119925127,5,1132936,130025154,5,1173144,150876414,5,1120804,98310159
60,5,1243028,261385994,5,1232992,315920052,5,1267788,315323221,5,1228252,275957884
120,4,1137304,481635167,4,1140856,487225568,4,1239276,560421407,5,1124764,440981975
180,4,1191028,568860070,5,1226392,644646919,5,1265544,659754599,5,1099420,675572778
240,4,1237228,682668845,2,1177692,838489311,4,1160736,954157797,6,1261384,552801026
300,4,1253320,879642697,6,1464528,931620862,6,1414572,735183414,4,1303360,966308144
360,7,1267656,961634840,2,1338072,1180043618,2,1240728,920720703,5,1148128,909121350
420,4,1380780,1043415701,6,1462288,1141759073,5,1445064,1266835776,5,1440640,920086003
480,5,1412224,1199842229,5,1382560,1031331484,4,1328112,1320000066,4,1316164,1213387449
540,4,1308868,1393370739,5,1352056,1042036268,5,1436088,1284130128,5,1508524,1279608848
600,4,1315672,1080181468,6,1416340,1213719838,4,1480308,1501738682,3,1426948,1615113588
