timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1191656,95229327,10,1181480,90105124,10,1172744,66758698,10,1173700,75506283
60,10,1282736,159744972,10,1282592,179522537,10,1258676,151413521,10,1278376,192799502
120,6,1284876,386279507,5,1226624,431105585,5,1216304,378444863,8,1225312,369233578
180,9,1266764,453372626,10,1340540,406925312,11,1347512,462128545,6,1205776,435904101
240,6,1296860,519936531,9,1341904,570312812,4,1266596,619778795,8,1241440,408420081
300,8,1286300,579839097,5,1310408,590597830,9,1277288,505761770,10,1318396,529002956
360,7,1271648,755390262,6,1286384,401421038,9,1375232,570913880,6,1276156,797245616
420,7,1245908,918930029,11,1397132,502904690,8,1384208,762428880,9,1358392,730618850
480,8,1382264,552331378,7,1468016,791364418,5,1377872,898967889,6,1379380,840372615
540,8,1314416,800107505,8,1393172,1064333200,10,1395824,666669059,8,1511644,949726787
600,4,1293692,957801436,5,1425116,793850335,8,1440440,856318361,9,1489732,952367007
