timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1682196,1059332240,10,1720328,1156840268,10,1698544,1097751138,10,1654728,1099013876
60,10,1706220,1118883730,10,1712408,1123023837,10,1765468,1091991737,10,1698948,1067555419
120,10,1552704,1224771849,10,1556252,1234063787,9,1585288,1196206906,11,1616712,1227674176
180,10,1475616,1095915502,10,1621064,1318839601,10,1664884,1368964907,10,1435080,1163190057
240,10,1597188,1219741507,10,1549652,1265995102,10,1525228,1323605822,10,1539668,1134952217
300,10,1620156,1272679242,10,1538348,1189340499,10,1548064,1116418788,10,1488848,1240404854
360,10,1475220,1284403458,10,1530032,1198477959,10,1626604,1357206466,10,1583796,1154816497
420,10,1565028,1251789641,10,1560080,1152121338,10,1538312,1292323234,10,1556076,1212547995
480,10,1431180,1283024221,10,1624364,1315097498,10,1561808,1251855465,10,1502748,1109576517
540,10,1531236,1247424205,10,1597964,1287853029,10,1560092,1285479392,10,1538520,1110270281
600,9,1462728,1298999590,11,1548728,1338967386,10,1626752,1271069278,10,1589856,1066162303
