timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1088820,234176481,10,1087868,310311453,10,1105768,238192862,10,1073572,250523326
60,10,1096608,344625117,10,1096052,457333572,10,1115272,374947580,10,1086376,459484791
120,13,1132116,656020726,9,1085852,748371824,9,1112368,739267765,9,1080832,731487821
180,11,1126308,904232228,10,1101428,746361673,10,1127152,829647839,9,1083340,794059772
240,10,1112184,954890947,10,1104200,864074540,10,1132564,1070302124,10,1100104,903877328
300,10,1117728,1056252320,10,1110160,1020132749,10,1134808,1091235898,10,1109080,1147210617
360,10,1120764,1177919181,10,1118212,1169378480,10,1139840,1233696743,10,1113040,1146986274
420,10,1124196,1261988783,10,1114020,1202558159,9,1129280,1280368673,11,1127956,1383623511
480,10,1126308,1223560172,10,1121016,1343029602,10,1149476,1474559377,10,1123508,1370220415
540,10,1136076,1458074785,10,1127220,1405919509,10,1147628,1511163376,10,1122712,1384125061
600,10,1137264,1513765999,10,1127616,1547170632,10,1151456,1554490180,10,1121260,1422967834
