timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1085448,187836067,5,1081720,222511418,5,1091764,210167775,5,1083080,186378199
60,5,1089672,333699700,5,1086868,377080827,5,1097704,420299756,5,1089284,334581939
120,7,1116284,549261692,5,1090300,536912533,3,1076584,592325960,5,1090736,486984302
180,7,1122620,651250352,5,1094524,679216888,3,1081072,725361529,5,1092188,631933223
240,7,1126580,783429989,5,1096768,912341920,3,1082392,862254234,5,1094564,718724104
300,8,1145456,938259732,4,1085944,938399364,3,1084636,1019252915,5,1097996,870268907
360,8,1150340,1099185831,4,1084888,971754284,3,1088860,1139188271,5,1099712,967901006
420,8,1155884,1235517848,4,1088848,1083498690,3,1089652,1267545238,5,1103276,1118481880
480,8,1158260,1380940402,4,1090828,1216266298,3,1091368,1338077074,5,1105388,1181026041
540,7,1141892,1381549238,5,1105612,1368300236,3,1095064,1472091274,5,1108424,1315032556
600,7,1142948,1357850095,5,1111024,1420836101,3,1099288,1541128645,5,1109612,1412471081
