timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1706840,1112813822,10,1690764,1110594103,10,1693412,1179288173,10,1662780,1034676312
60,10,1730072,1121456552,10,1710432,1125647764,10,1790564,1159168463,10,1721256,1085417428
120,10,1713176,1023922616,10,1726404,1103464047,10,1800596,1155213755,10,1743300,1115106791
180,10,1757264,1121294433,10,1737360,1150027879,10,1793468,1177422426,10,1670304,1028530393
240,10,1767296,1141633507,10,1742376,1145100500,10,1752416,1158686081,10,1695120,1052368218
300,10,1728884,1102894394,10,1767060,1156308669,10,1801124,1152241789,10,1718220,1121621561
360,10,1814420,1151076833,10,1727460,1141230461,10,1785020,1098931151,10,1717956,1065318058
420,10,1794224,1118998670,10,1760988,1159216554,10,1767992,1135741130,10,1723236,1059813987
480,10,1805180,1143658723,10,1752936,1133356765,10,1817360,1170660097,10,1780656,1079722399
540,10,1812968,1168630314,10,1776300,1107863850,10,1793336,1156012366,10,1727856,1048310934
600,10,1791452,1136207222,10,1744224,1107795176,10,1794260,1152468808,10,1748184,1066312950
