timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1111332,105036985,5,1107108,132799215,5,1104180,77891153,5,1115484,152912281
60,5,1167168,189412492,5,1173240,217895632,5,1159884,152232924,5,1201152,263885740
120,5,1212180,215972111,5,1234752,311373549,5,1228656,244838992,5,1246428,343768518
180,5,1267356,327268679,5,1280820,408141189,5,1263900,238560513,5,1298436,439981613
240,5,1280028,357223426,5,1315008,435737100,5,1302444,331439299,5,1343052,594038190
300,5,1319364,465277222,5,1370976,588834640,5,1314852,335569631,5,1359684,621133247
360,5,1350120,514056525,5,1381668,613412609,5,1343496,397190656,5,1396248,742721337
420,5,1378764,529537315,5,1403052,712734528,5,1359204,465015859,5,1440204,802361369
480,5,1388928,593343499,5,1437636,790127175,5,1375176,490350167,5,1453404,946223216
540,5,1421268,694464436,5,1464300,889744943,5,1398672,544321338,5,1443636,962380249
600,5,1447008,765220216,5,1458096,871213455,5,1414380,636400209,5,1482708,1086224866
