timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1174476,713823760,10,1166308,638178512,10,1180696,756921939,10,1167356,631205483
60,10,1176984,693089616,10,1166044,701257455,10,1181224,730329465,10,1165508,624142142
120,10,1177644,685993342,10,1167628,717005351,10,1180036,717334199,10,1167752,641438842
180,10,1177644,660799790,10,1168024,656530434,10,1183600,755417815,10,1169600,610214889
240,10,1177776,724381087,10,1168816,676919994,10,1183204,751166908,10,1168016,567189223
300,10,1176720,645457488,10,1172248,732722037,10,1186372,673599758,10,1169732,638742658
360,10,1176588,675002859,10,1172908,754708589,10,1185316,698753677,10,1169336,650964487
420,10,1177380,652176837,10,1170928,667914189,10,1184920,744821105,10,1170524,654631101
480,10,1179360,690788409,10,1171588,682243759,10,1186372,716385053,10,1171052,669352939
540,10,1181472,715308119,10,1172644,702163259,10,1187428,747779531,10,1171052,604616548
600,10,1180944,681795064,10,1169476,661010801,10,1184260,722773067,10,1170788,679238934
