timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1085288,623137785,5,1079220,607547724,5,1068612,738143859,5,1085388,720149895
60,5,1086344,562885546,5,1080276,712613623,5,1071384,763054729,5,1084464,681071399
120,6,1094924,623088430,5,1081464,683349611,4,1055544,729412472,5,1084596,716956838
180,7,1111292,781855044,5,1079748,690114724,3,1039968,598191866,5,1083408,672523864
240,4,1076576,794753217,5,1081332,682868377,6,1071384,650431105,5,1083408,619479333
300,4,1078160,756030859,5,1079880,656996053,6,1075344,626820206,5,1082484,658951168
360,4,1081460,732599617,5,1078032,668081209,6,1076532,667664109,5,1083276,652258689
420,4,1078028,741692882,5,1080672,647741054,6,1077720,675988902,5,1085256,646078133
480,4,1077764,715144400,5,1081200,677291868,6,1079832,674872963,5,1084068,654348321
540,4,1075916,748957376,5,1081068,663962211,6,1076928,609409309,5,1087500,672328652
600,4,1073540,700304665,5,1082256,680555357,6,1078116,670358911,5,1086708,652228802
