timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1124328,127990514,5,1123136,117208140,5,1103068,94561839,5,1141248,133384963
60,5,1175808,176107511,5,1191644,228321754,5,1149928,130598510,5,1198668,281839631
120,5,1228212,261348462,5,1256720,286631900,5,1192168,200062109,5,1244340,354900430
180,5,1272168,309733551,5,1308200,366049732,5,1233484,260771599,5,1295028,456369470
240,5,1313088,365949409,5,1333148,484061450,5,1277176,308968447,5,1336476,547041957
300,5,1350840,458665652,5,1376576,579099884,5,1293676,324801285,5,1361028,641286953
360,5,1373544,512020400,5,1393472,560504063,5,1320868,425424024,5,1396536,756570837
420,5,1383444,514050762,5,1439012,715662677,5,1321000,458883664,5,1418184,861734836
480,5,1412220,622417277,5,1444688,782483966,5,1356904,499592172,5,1457784,903080592
540,5,1402188,628783397,5,1494056,884302353,5,1376044,548991493,5,1477320,1013667976
600,5,1433604,719226588,5,1477424,885756961,5,1386472,585066147,5,1497648,1135602341
