timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1564632,971457259,5,1593796,1217207468,5,1512584,853232143,5,1663420,1382694118
60,5,1530312,939291570,5,1649500,1253282130,5,1532384,822884420,5,1680448,1422915605
120,5,1579812,1164051989,5,1533604,1201564107,5,1576736,1127278174,5,1502644,1160288700
180,4,1538232,1118327235,4,1563964,1167753815,6,1548224,1139966012,6,1551088,1138731029
240,5,1484508,1142796303,4,1575580,1293820849,6,1506908,984201794,5,1596320,1198408965
300,4,1576512,1183507869,5,1501528,1207586001,6,1577396,1115877433,5,1509976,1030071424
360,4,1480152,1244619979,6,1556308,1163946955,5,1573568,1142560510,5,1571356,1095180182
420,5,1551960,1210438547,5,1557100,1150092863,5,1528952,1132452049,5,1567528,1120281386
480,4,1513812,1198398215,5,1592344,1220942525,5,1506776,1054713431,6,1593660,1154128983
540,4,1585488,1319202109,5,1463644,1149519524,5,1527500,1075463849,6,1523304,1158746231
600,5,1529652,1240055187,5,1605412,1253578478,5,1524200,1064610145,5,1526076,1027950561
