timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1131200,1077968362,10,1140376,1251018634,10,1147588,1006265808,10,1124776,1352630868
60,10,1138196,1114031752,10,1144864,1331887091,10,1151944,1015877801,10,1126096,1278142352
120,5,1140704,1136310661,3,1158576,1305969107,4,1160524,1117385489,3,1130716,1336722206
180,8,1115624,1239933653,9,1154088,1217588213,9,1169368,1371740685,9,1114216,1267054014
240,6,1120376,1149434237,5,1183788,1386256735,8,1186412,1166237263,4,1137528,1260348784
300,6,1138064,1260644930,9,1180092,1298832663,4,1179952,1225300782,9,1147560,1206466540
360,5,1132256,934193168,7,1158840,1572887402,5,1163584,1123807915,9,1130664,1207348898
420,7,1185320,1168597786,6,1135080,1353435912,9,1167940,1215656178,6,1086972,1133602542
480,10,1180644,1388388265,7,1162536,1069402068,6,1180216,1347608743,5,1110864,1060095196
540,6,1166916,1197629048,6,1175472,1209320989,6,1171504,1279953616,6,1106904,1127867791
600,5,1117440,1201954242,6,1164700,1294095981,9,1174936,1388954442,10,1153368,1124703244
