timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1088712,109849673,5,1072160,145729096,5,1080448,140633818,5,1069848,97587322
60,5,1092144,193602197,5,1075064,226166533,5,1084540,244618889,5,1073148,186475961
120,5,1094388,282184409,5,1076780,279663268,5,1087312,318176729,5,1075788,277051011
180,5,1096104,316367254,5,1079420,356616682,5,1089028,409826493,5,1077768,381487920
240,5,1098348,401424736,5,1081400,438689346,5,1091008,523773803,5,1079484,442449875
300,5,1099272,500273523,5,1083116,552703955,5,1092592,621948354,5,1081332,455876412
360,5,1101252,562514486,5,1084700,599312409,5,1094704,737394456,5,1084368,562764722
420,5,1101780,655979816,5,1086152,675343221,5,1096024,750075324,5,1085820,615170017
480,5,1104552,721898923,5,1087868,739377168,5,1098664,811284100,5,1085292,679186498
540,5,1102308,749461175,5,1088792,811566901,5,1099060,868073076,5,1088460,812760225
600,5,1105476,838357049,5,1090904,888298087,5,1100116,943983664,5,1089516,790929319
