timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1097636,95573866,5,1081940,122724559,5,1089484,79661129,5,1082288,138028486
60,5,1104368,243730399,5,1087352,281676275,5,1096744,200250669,5,1087964,385329371
120,5,1108988,419046936,5,1092632,477538733,5,1102024,331600426,5,1092452,534087382
180,5,1111760,531621107,5,1098572,621235157,5,1104268,420166055,5,1096544,788998756
240,5,1114400,626895022,5,1102532,816323283,5,1108096,500488350,5,1100372,952181320
300,5,1117700,771480974,5,1102532,929096875,5,1111528,630787011,5,1104992,1157587364
360,5,1118624,903485404,5,1105700,1049189740,5,1110736,696512879,5,1110404,1317889818
420,5,1121660,968935350,5,1108208,1264313240,5,1112980,798982604,5,1111196,1384841443
480,5,1123904,1097854829,5,1112696,1320139938,5,1114828,854769537,5,1116476,1508354081
540,5,1126016,1128506975,5,1115336,1429740372,5,1116412,903773497,5,1117400,1663911212
600,5,1128788,1229478778,5,1118504,1387317670,5,1120504,993050903,5,1119512,1755213261
