timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1145360,1209156135,10,1140580,1273847910,10,1145344,1228324329,10,1127636,1115082308
60,10,1154468,1296609436,10,1138996,1254437695,10,1148512,1229399283,10,1125920,1062212582
120,15,1206464,1351688581,10,1139524,1348153301,8,1130256,1272130456,7,1098012,1195884263
180,11,1164688,1385771048,11,1151668,1308583036,8,1123260,1258471999,10,1131056,1239971833
240,9,1136440,1243354487,10,1146284,1309418845,9,1135800,1217654347,12,1157060,1246326762
300,9,1136836,1162988481,10,1142836,1296474625,10,1144644,1220756775,11,1147952,1357502901
360,10,1152940,1248670742,10,1146664,1305506072,10,1149828,1384982462,10,1128944,1199328154
420,10,1149188,1265613618,10,1150096,1239138239,10,1143540,1247193617,10,1136468,1311892033
480,11,1163576,1254008958,10,1144948,1275433445,9,1134168,1240437110,10,1137512,1367335096
540,10,1155028,1316421089,11,1154264,1305374518,9,1135092,1251637892,10,1139336,1275404923
600,10,1150804,1301299531,10,1145764,1267549354,10,1151592,1269282435,10,1137224,1263233260
