timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1141792,1096375024,10,1136628,1275433013,10,1125360,1011007758,10,1128556,1386040250
60,10,1144696,1152970368,10,1140060,1324765295,10,1129452,980331394,10,1127500,1296375606
120,11,1158820,1190012401,9,1122372,1181278951,11,1148856,1146362270,9,1114432,1265237497
180,12,1175452,1294019005,9,1120392,1089772749,11,1147536,1157650798,8,1100836,1142618179
240,11,1161460,1276962068,10,1138608,1178708869,11,1151100,1096891408,8,1098724,1177462846
300,10,1149580,1119099093,10,1146396,1208495084,12,1163772,1233721234,8,1098196,1078386172
360,11,1158820,1075943855,10,1145076,1214516822,11,1152684,1214641198,8,1099384,1174816792
420,11,1166080,1144969143,10,1141380,1205984433,11,1151892,1192136888,8,1099120,1080894751
480,11,1162780,1180265105,10,1141908,1210782800,11,1153080,1182305109,8,1101892,1063865407
540,11,1161460,1168980659,10,1138476,1174758751,11,1152684,1171260699,8,1100836,1163867219
600,11,1160404,1134975643,10,1139928,1171324094,11,1152552,1113382956,8,1102156,1204078606
