timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1095812,1040123708,5,1118308,1336521115,5,1094736,909380690,5,1105232,1490567245
60,5,1095548,1107057938,5,1120816,1330189508,5,1096056,889834177,5,1104968,1437357260
120,5,1094888,994852551,5,1119100,1341344132,5,1095528,851588701,5,1109720,1537040462
180,5,1097264,1023267531,5,1120684,1375544236,5,1094868,867002510,5,1110380,1481673717
240,5,1097000,1038706026,5,1115800,1314624796,5,1095396,904172852,5,1106816,1465317780
300,5,1099244,1013300147,5,1120024,1381964186,5,1095000,930475085,5,1115792,1527785864
360,5,1097264,1070921448,5,1120948,1302684482,5,1092360,780063164,5,1111700,1554823930
420,5,1097396,1083300206,5,1122664,1333100975,5,1094604,875090694,5,1112624,1476328796
480,5,1098056,1054208279,5,1119628,1339446620,5,1095528,859884028,5,1108268,1517885591
540,5,1097792,1110845389,5,1117780,1281061147,5,1095132,823078617,5,1109192,1538227033
600,5,1093832,991643920,5,1120420,1350232601,5,1097640,880038734,5,1109060,1472760346
