timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1004992,3,974720,3,1026704,3
60,1133428,3,1059964,3,1089144,3
120,1095808,3,1201452,3,1271964,3
180,1095544,3,1344276,3,1662948,3
240,1096336,3,1501488,3,1955856,3
300,1095676,3,1564056,3,2184572,3
360,1094488,3,1696536,3,2259944,3
420,1092508,3,1966872,3,2611988,3
480,1095020,3,1884900,3,2508500,3
540,1097396,3,1196784,3,2927864,3
600,1099376,3,1775736,3,2404620,3
660,1095548,3,1727952,3,3751392,3
720,1097596,3,1788144,3,1570300,3
780,1097860,3,1615620,3,3147772,3
840,1099048,3,2256348,3,3590532,3
900,1098520,3,1638060,3,1833684,3
960,1093900,3,2098872,3,3688984,3
1020,1096012,3,2639016,3,2334432,3
1080,1097200,3,2059536,3,3578604,3
1140,1097464,3,1961068,3,1465452,3
1200,1099444,3,2349412,3,2686476,3
1260,1095616,3,2279896,3,936744,3
1320,1097824,3,3695084,3,2275884,3
1380,1097612,3,979336,3,3401840,3
1440,1096556,3,1258120,3,941700,3
1500,1100252,3,977124,3,942492,3
1560,1096952,3,972372,3,943600,3
1620,1096644,3,978188,3,2634916,3
1680,1098068,3,976340,3,941480,3
1740,1096732,3,976340,3,941084,3
1800,1098316,3,974436,3,938708,3
1860,1096072,3,973116,3,941052,3
1920,1096996,3,974436,3,941316,3
1980,1098928,3,974304,3,2525580,3
2040,1099324,3,973776,3,1748392,3
2100,1099192,3,972804,3,939760,3
2160,1096420,3,972248,3,972760,3
2220,1097608,3,973964,3,943328,3
2280,1097740,3,976208,3,939104,3
2340,1098176,3,973304,3,938312,3
2400,1101300,3,988352,3,943716,3
2460,1097736,3,976980,3,940944,3
2520,1101432,3,974208,3,940996,3
2580,1101696,3,975792,3,941524,3
2640,1101300,3,975396,3,939412,3
2700,1100640,3,973944,3,940416,3
2760,1097604,3,2479488,3,943604,3
2820,1099528,3,974004,3,939380,3
2880,1098868,3,971232,3,940832,3
2940,1100708,3,974268,3,941228,3
3000,1100056,3,973740,3,938720,3
3060,1099396,3,973212,3,943252,3
3120,1101112,3,975104,3,939292,3
3180,1100848,3,978536,3,943092,3
3240,1101556,3,974840,3,943752,3
3300,1099972,3,976952,3,936888,3
3360,1100104,3,976160,3,2710572,3
3420,1100236,3,976828,3,942000,3
3480,1099708,3,979468,3,1698360,3
3540,1100104,3,973264,3,943540,3
3600,1101288,3,974056,3,939316,3
