timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,955860,2,931720,2,937756,2
60,1332720,6,1343164,0,1312636,0
120,2296320,1,935020,1,948976,4
180,1677108,1,1247860,5,1732924,0
240,2140428,1,2249756,1,955180,4
300,2341200,1,1576028,1,1765792,4
360,2225192,1,1764920,2,2565580,3
420,3195920,1,3040700,2,2875252,3
480,2607860,1,3024464,3,2768068,2
540,3570932,1,3733324,2,3692592,3
600,1398368,1,1769248,1,3723736,4
660,1301612,6,1371004,0,1818780,0
720,2384540,1,937384,5,948068,0
780,1582904,1,1970548,5,949916,0
840,1804004,1,2517028,2,947540,3
900,2616332,1,2244976,1,1804352,4
960,2470340,1,1890688,2,2444024,3
1020,3381536,1,2577484,2,3074060,3
1080,3381536,1,2577484,2,3074060,3
1140,1273172,1,1949204,3,2075620,2
1200,1260896,1,2065496,2,2175016,3
1260,1600532,2,1622240,2,1539780,2
1320,1525952,2,1813244,2,2071740,2
1380,1510904,2,2035136,2,1534852,2
1440,1199252,1,1616960,2,1912652,3
1500,1652804,2,1668756,2,1588220,2
1560,1902284,2,1716804,2,1710188,2
1620,2143712,2,1774748,2,1903304,2
1680,2016596,1,1792468,2,1808528,3
1740,2723588,1,2152696,3,1844960,2
1800,2446916,1,2801212,3,2602112,2
