timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1105056,2,1130904,2,1007808,2
60,1600980,6,1001148,0,1010052,0
120,1392092,2,1360848,2,1373580,2
180,1532012,2,1532592,2,1514292,2
240,1185644,2,1150452,2,1187460,2
300,1691336,2,1458804,2,1526568,2
360,1446872,1,1592124,1,2120436,4
420,1978832,1,1924896,2,1592236,3
480,2208248,1,1665384,1,2458540,4
540,2408324,1,1947072,1,2562292,4
600,1201052,1,1914732,1,1346968,4
660,1922696,1,1800684,2,2516680,3
720,2252828,1,2601996,2,2021152,3
780,1604180,1,1538756,1,3132856,4
840,2669504,1,1455728,1,2101012,4
900,3502688,1,2218820,1,2220472,4
960,3171632,1,1407944,2,1503448,3
1020,2281556,1,1680524,2,1743424,3
1080,1180388,1,1087272,1,1270708,4
1140,963296,1,948956,1,1096744,4
1200,1050152,1,995172,1,3805280,4
1260,1054244,1,1032924,1,1237928,4
1320,1046480,1,3748152,3,1090448,2
1380,1010568,1,1006100,1,2839712,4
1440,3821416,1,1083864,3,1067080,2
1500,1045136,1,1006812,1,2961656,4
1560,1042892,1,1005228,1,2494736,4
1620,1042628,1,1002984,1,1514084,4
1680,1068728,1,1166240,1,1105024,4
1740,963516,1,1037988,2,1101988,3
1800,1104800,1,1134200,3,1088260,2
1860,962536,1,947372,1,1221056,4
1920,1071124,1,1134396,3,1058652,2
1980,964612,1,945900,1,1189284,4
2040,1010736,1,996648,1,1275004,4
2100,2425064,2,988184,2,1131968,2
2160,1057900,1,1008084,1,1208548,4
2220,968248,1,1108700,3,1066668,2
2280,1014156,1,1015892,1,1212664,4
2340,1016268,1,1130528,3,1006968,2
2400,1213608,1,1018736,1,1054176,4
2460,1017876,1,1044740,1,1098740,4
2520,1018404,1,1045136,1,1055444,4
2580,1066900,1,3810376,3,1052816,2
2640,1066620,1,1030440,1,2691300,4
2700,1067412,1,1028328,1,3799520,4
2760,1067280,1,1024500,1,1010616,4
2820,1063848,1,1024896,1,1014788,4
2880,1065036,1,1024368,1,2833340,4
2940,1064640,1,1023444,1,1012000,4
3000,1063584,1,1022388,1,1007116,4
3060,1062396,1,1023444,1,2435160,4
3120,1063848,1,1023972,1,1011632,4
3180,1064112,1,1024596,1,1007540,4
3240,1064904,1,1021560,1,1005824,4
3300,1064112,1,1023144,1,1007276,4
3360,1062792,1,1023936,1,1007576,4
3420,1062000,1,1024512,1,1010508,4
3480,1063584,1,1022928,1,1012092,4
3540,1064244,1,1025172,1,1005360,4
3600,1062528,1,1021476,1,1006548,4
3660,1061208,1,1022004,1,1074660,4
3720,1079292,1,1123580,3,1094856,2
3780,1126944,2,1092296,2,1092316,2
