timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,963532,1,942640,2,956788,3
60,1023064,1,1043620,2,1108456,3
120,1248388,1,1500208,2,1746544,3
180,1488100,1,2203240,2,2434000,3
240,1851892,1,2789320,2,2920816,3
300,1944688,1,3747124,2,3741968,3
360,2865256,1,2267780,2,3442400,3
420,2577232,1,3689560,2,3191984,3
480,3513172,1,1879972,2,2969036,3
540,2912372,1,2706556,2,0,3
600,2757344,1,2854660,2,0,3
660,3154928,1,3746612,2,2457960,3
720,1063224,1,2282468,2,3735276,3
780,1440744,1,2809676,2,2367468,3
840,1532616,1,1414356,2,3473628,3
900,1728900,1,2151708,2,2562684,3
960,2571720,1,2658324,2,3167508,3
1020,2406060,1,3739660,2,1990020,3
1080,3299920,1,1823960,2,3032952,3
1140,2643220,1,3307772,2,2628196,3
1200,2645824,1,3390928,2,2737888,3
1260,3131584,1,3734828,2,2519076,3
1320,2937980,1,1866136,2,2978816,3
1380,3739372,1,2371696,2,3730192,3
