timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1025048,1,1122836,2,1045996,3
60,990068,1,1053140,2,1064288,3
120,990200,1,1204808,2,1406036,3
180,987956,1,1350932,2,1689704,3
240,989672,1,1462868,2,1939052,3
300,990068,1,1673672,2,2289248,3
360,984524,1,1743236,2,2558396,3
420,987296,1,1624964,2,2688548,3
480,989672,1,1834712,2,3349868,3
540,988088,1,1239664,2,3022508,3
600,992240,1,1984276,2,1878576,3
660,989140,1,1644508,2,2334900,3
720,991384,1,1386448,2,3012500,3
780,989272,1,2747764,2,2954344,3
840,990592,1,1316488,2,2667692,3
900,990196,1,1839076,2,2669028,3
960,988216,1,3068524,2,2324068,3
1020,992044,1,2337772,2,2667340,3
1080,992308,1,1571228,2,2168644,3
1140,994156,1,919764,2,933088,3
1200,994420,1,2014968,2,2917096,3
1260,987820,1,3004572,2,1549228,3
1320,991648,1,3026940,2,1513764,3
1380,992704,1,928236,2,3397800,3
1440,992440,1,930972,2,929020,3
1500,991780,1,927948,2,932608,3
1560,991648,1,932436,2,932740,3
1620,992308,1,931452,2,933924,3
1680,992572,1,930508,2,931944,3
1740,994948,1,928264,2,931020,3
1800,991912,1,926388,2,1772388,3
1860,992308,1,928696,2,935228,3
1920,993892,1,925792,2,3236252,3
1980,990460,1,924736,2,933652,3
2040,991780,1,927508,2,930880,3
2100,989668,1,2445376,2,930220,3
2160,990724,1,925644,2,930680,3
2220,994796,1,928680,2,932584,3
2280,1003112,1,925644,2,3815652,3
2340,1004696,1,925964,2,935012,3
2400,1002716,1,927812,2,932768,3
2460,1003112,1,931100,2,932504,3
2520,1001924,1,928328,2,933728,3
2580,1004960,1,928328,2,929372,3
2640,1004432,1,926808,2,933972,3
2700,1001924,1,928128,2,935160,3
2760,999812,1,1819392,2,932256,3
2820,1003772,1,931560,2,935592,3
2880,1001396,1,931772,2,933876,3
2940,1004828,1,927152,2,933844,3
3000,1002716,1,929660,2,929488,3
3060,1001792,1,930980,2,931996,3
3120,1001232,1,930080,2,933320,3
3180,1005192,1,928628,2,932396,3
3240,1001496,1,929684,2,3819976,3
3300,1001628,1,929420,2,933544,3
3360,1004004,1,929816,2,933940,3
3420,1004796,1,927660,2,931828,3
3480,1005060,1,925680,2,934580,3
3540,1006248,1,927800,2,932844,3
3600,1006644,1,927668,2,933048,3
