timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,971184,2,954432,2,1032936,2
60,1020024,2,1029144,2,1049964,2
120,1125732,1,1139496,1,1277532,4
180,1071216,1,1102272,3,1178268,2
240,1066992,1,1444548,1,1328220,4
300,1045540,1,1117848,1,1757192,4
360,1147972,1,1006704,1,1776148,4
420,1133452,1,995880,1,2152876,4
480,1263868,1,979512,1,2152480,4
540,1330660,1,974892,1,1715560,4
600,1271252,1,1006836,1,2222012,4
660,1277324,1,1024032,1,2152712,4
720,1362728,1,1219920,1,1988636,4
780,1412756,1,1281832,1,2610724,4
840,1320356,1,1272724,1,2540236,4
900,1472816,1,1120924,1,2878024,4
960,1400876,1,1374948,1,3321356,4
1020,1401800,1,1338912,1,3454828,4
1080,1514264,1,1660068,1,2152904,4
1140,1543172,1,1556184,1,2454384,4
1200,1754108,1,1720128,1,3318780,4
1260,1311644,1,1456920,1,3780016,4
1320,1693256,1,1103952,1,1852184,4
1380,1546340,1,1669044,1,2658732,4
1440,1959896,1,1737816,1,3110240,4
1500,1042100,1,2439800,5,2663284,0
1560,1656296,1,2155764,5,923452,0
1620,1896272,1,3792928,1,919492,4
1680,1649432,1,3194676,5,925328,0
1740,2800888,6,3647828,0,925988,0
1800,1725928,1,1020376,5,918860,0
1860,3645692,1,1949972,5,918332,0
1920,2967416,1,2638244,1,1651864,4
1980,901744,1,2448428,1,2209468,4
2040,994276,1,1535912,1,2512548,4
2100,1057636,1,1160372,1,3236888,4
2160,2190460,1,987056,1,3808876,4
2220,3602240,6,983360,0,3704516,0
2280,2368408,6,983492,0,924904,0
2340,2792508,1,985208,1,926092,4
2400,2570068,1,2624724,5,963264,0
2460,2969516,6,2985200,0,940808,0
2520,985632,1,951476,5,943844,0
2580,3475812,6,954480,0,939620,0
2640,2910684,1,993816,5,939092,0
2700,962760,6,3781388,0,940940,0
2760,3621836,6,954180,0,950180,0
2820,2855420,1,947184,1,1175788,4
2880,910136,1,3353520,5,970500,0
2940,1155108,6,983368,0,954924,0
3000,3734948,6,983368,0,947928,0
3060,976664,1,1827112,1,960996,4
3120,937868,6,2965276,0,987872,0
3180,2022016,6,967268,0,946688,0
3240,940836,1,966212,5,945764,0
3300,3124304,6,1143888,0,946424,0
3360,2823628,6,960408,0,948140,0
3420,957552,1,1008192,5,948840,0
3480,2020544,6,3603032,0,950028,0
3540,1709484,6,990748,0,948180,0
3600,3800716,1,983884,5,949104,0
