timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1034296,2,1046288,2,1017736,2
60,1098976,2,1125884,2,1070272,2
120,1164092,2,1206008,2,1178512,2
180,1187852,2,1214324,2,1320808,2
240,1385324,2,1309496,2,1377832,2
300,1446308,2,1480172,2,1391428,2
360,1468088,2,1429484,2,1500592,2
420,1514420,2,1619300,2,1562528,2
480,1594808,2,1761200,2,1503392,2
540,1635200,2,1686092,2,1814252,2
600,1678100,2,1881320,2,1695056,2
660,1898012,2,1829924,2,1945988,2
720,2027768,2,2029904,2,1834052,2
780,1917500,2,1950044,2,2084720,2
840,2071676,2,1971552,2,1955096,2
900,1969772,2,2093124,2,1749704,2
960,2241692,2,2292576,2,2272424,2
1020,2272448,2,2384844,2,2245628,2
1080,2617760,2,2562516,2,1804616,2
1140,1949972,2,2493216,2,2177120,2
1200,2193776,2,2373228,2,2308328,2
1260,3091112,2,2312640,2,2268068,2
1320,3022340,2,2134176,2,2506592,2
1380,3323716,2,2314884,2,2513852,2
1440,2318188,2,2285316,2,2468840,2
1500,3603096,2,2125068,2,2027168,2
1560,2154320,2,2987160,2,3280772,2
1620,2319320,2,2782644,2,2009348,2
1680,2167388,2,3626520,2,1996372,2
1740,3807632,2,1781100,2,2146060,2
1800,2000348,2,2488600,2,2812448,2
1860,3706136,2,2687592,2,3573420,2
1920,1742508,2,3268920,2,3159816,2
1980,2831500,2,2045420,2,3120184,2
2040,2444628,2,2505308,2,1542880,2
2100,1683120,2,2351500,2,2066788,2
2160,1683120,2,2351500,2,2066788,2
2220,3403176,2,1760396,2,1549168,2
2280,2248440,2,2958992,2,2501680,2
2340,1639128,2,1793168,2,2236492,2
2400,1587516,2,3587124,2,3420928,2
2460,2491216,2,2961192,2,2249864,2
2520,2479468,2,3051744,2,3214388,2
2580,2489220,2,1844260,2,1111496,2
2640,3410976,2,2059024,2,1934840,2
2700,3144664,2,1740640,2,2205836,2
2760,2548156,2,3662460,2,2518300,2
2820,918984,2,2683968,2,2878660,2
2880,1509948,2,2135112,2,2287156,2
2940,3110656,2,913132,2,2085240,2
3000,2461620,2,915376,2,1267236,2
3060,1889664,2,912372,2,2168004,2
3120,887176,2,3428300,2,2906280,2
3180,1650400,2,2885120,2,3066872,2
3240,2367088,2,911352,2,2169744,2
3300,889392,2,908844,2,3417936,2
3360,2941332,2,909372,2,985332,2
3420,2238300,2,2583528,2,2712288,2
3480,886572,2,912096,2,2652624,2
3540,2409324,2,2292816,2,3155900,2
3600,1180668,2,916416,2,2029932,2
