response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0878,0.0007,0.0000,0.0001,0.0868,0.0001,200,0.0001
0.0761,0.0000,0.0000,0.0000,0.0760,0.0001,200,0.0879
0.0770,0.0000,0.0000,0.0000,0.0769,0.0001,200,0.1640
0.0690,0.0000,0.0000,0.0000,0.0689,0.0000,200,0.2410
0.0722,0.0000,0.0000,0.0000,0.0721,0.0000,200,0.3100
0.0687,0.0000,0.0000,0.0000,0.0686,0.0000,200,0.3822
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,0.4509
0.0723,0.0000,0.0000,0.0000,0.0722,0.0001,200,0.5193
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,0.5917
0.0770,0.0000,0.0000,0.0000,0.0769,0.0001,200,0.6595
0.0708,0.0000,0.0000,0.0000,0.0707,0.0000,200,0.7365
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,0.8073
0.0679,0.0000,0.0000,0.0000,0.0678,0.0000,200,0.8741
0.0680,0.0000,0.0000,0.0000,0.0679,0.0000,200,0.9420
0.0690,0.0000,0.0000,0.0000,0.0689,0.0001,200,1.0100
0.0713,0.0000,0.0000,0.0000,0.0712,0.0001,200,1.0789
0.0706,0.0000,0.0000,0.0000,0.0706,0.0000,200,1.1503
0.0676,0.0000,0.0000,0.0000,0.0675,0.0000,200,1.2209
0.0772,0.0000,0.0000,0.0000,0.0771,0.0000,200,1.2885
0.0675,0.0000,0.0000,0.0000,0.0674,0.0000,200,1.3657
0.0696,0.0000,0.0000,0.0000,0.0695,0.0000,200,1.4332
0.0810,0.0000,0.0000,0.0000,0.0809,0.0000,200,1.5028
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,1.5838
0.0672,0.0000,0.0000,0.0000,0.0671,0.0000,200,1.6516
0.0707,0.0000,0.0000,0.0000,0.0706,0.0001,200,1.7188
0.0684,0.0000,0.0000,0.0000,0.0683,0.0000,200,1.7895
0.0677,0.0000,0.0000,0.0000,0.0676,0.0000,200,1.8578
0.0665,0.0000,0.0000,0.0000,0.0664,0.0000,200,1.9255
0.0683,0.0000,0.0000,0.0000,0.0682,0.0000,200,1.9920
0.0762,0.0000,0.0000,0.0000,0.0762,0.0001,200,2.0603
0.0675,0.0000,0.0000,0.0000,0.0674,0.0001,200,2.1366
0.0678,0.0000,0.0000,0.0000,0.0677,0.0001,200,2.2041
0.0674,0.0000,0.0000,0.0000,0.0674,0.0000,200,2.2719
0.0693,0.0000,0.0000,0.0000,0.0692,0.0001,200,2.3393
0.0680,0.0000,0.0000,0.0000,0.0679,0.0000,200,2.4086
0.0689,0.0000,0.0000,0.0000,0.0688,0.0001,200,2.4766
0.0687,0.0000,0.0000,0.0000,0.0686,0.0000,200,2.5455
0.0749,0.0000,0.0000,0.0000,0.0748,0.0001,200,2.6142
0.0686,0.0000,0.0000,0.0000,0.0685,0.0000,200,2.6891
0.0682,0.0000,0.0000,0.0000,0.0681,0.0001,200,2.7577
0.0681,0.0000,0.0000,0.0000,0.0680,0.0001,200,2.8259
0.0718,0.0000,0.0000,0.0000,0.0717,0.0001,200,2.8940
0.0610,0.0000,0.0000,0.0000,0.0609,0.0000,200,2.9658
0.0628,0.0000,0.0000,0.0000,0.0627,0.0000,200,3.0268
0.0600,0.0000,0.0000,0.0000,0.0599,0.0000,200,3.0896
0.0630,0.0000,0.0000,0.0000,0.0630,0.0000,200,3.1496
0.0618,0.0000,0.0000,0.0000,0.0617,0.0000,200,3.2127
0.0603,0.0000,0.0000,0.0000,0.0602,0.0000,200,3.2744
0.0610,0.0000,0.0000,0.0000,0.0609,0.0000,200,3.3347
0.0622,0.0000,0.0000,0.0000,0.0621,0.0000,200,3.3958
0.0611,0.0000,0.0000,0.0000,0.0610,0.0000,200,3.4580
0.0624,0.0000,0.0000,0.0000,0.0623,0.0000,200,3.5191
0.0603,0.0000,0.0000,0.0000,0.0602,0.0000,200,3.5815
0.0605,0.0000,0.0000,0.0000,0.0605,0.0000,200,3.6418
0.0605,0.0000,0.0000,0.0000,0.0605,0.0000,200,3.7024
0.0612,0.0000,0.0000,0.0000,0.0611,0.0000,200,3.7629
0.0654,0.0000,0.0000,0.0000,0.0653,0.0001,200,3.8241
0.0594,0.0000,0.0000,0.0000,0.0593,0.0000,200,3.8895
0.0629,0.0000,0.0000,0.0000,0.0628,0.0000,200,3.9489
0.0624,0.0000,0.0000,0.0000,0.0623,0.0001,200,4.0118
0.0633,0.0000,0.0000,0.0000,0.0632,0.0001,200,4.0741
0.0619,0.0000,0.0000,0.0000,0.0618,0.0001,200,4.1374
0.0653,0.0000,0.0000,0.0000,0.0652,0.0000,200,4.1994
0.0616,0.0000,0.0000,0.0000,0.0615,0.0000,200,4.2646
0.0623,0.0000,0.0000,0.0000,0.0622,0.0000,200,4.3262
0.0620,0.0000,0.0000,0.0000,0.0619,0.0001,200,4.3885
0.0703,0.0000,0.0000,0.0000,0.0702,0.0000,200,4.4505
0.0653,0.0000,0.0000,0.0000,0.0652,0.0000,200,4.5207
0.0726,0.0000,0.0000,0.0000,0.0725,0.0000,200,4.5861
0.0651,0.0000,0.0000,0.0000,0.0650,0.0000,200,4.6587
0.0674,0.0000,0.0000,0.0000,0.0673,0.0000,200,4.7237
0.0686,0.0000,0.0000,0.0000,0.0685,0.0001,200,4.7911
0.0725,0.0000,0.0000,0.0000,0.0724,0.0000,200,4.8597
0.0682,0.0000,0.0000,0.0000,0.0681,0.0000,200,4.9322
0.0741,0.0000,0.0000,0.0000,0.0741,0.0001,200,5.0004
0.0670,0.0000,0.0000,0.0000,0.0669,0.0001,200,5.0745
0.0669,0.0000,0.0000,0.0000,0.0668,0.0000,200,5.1415
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,5.2084
0.0702,0.0000,0.0000,0.0000,0.0701,0.0001,200,5.2778
0.0683,0.0000,0.0000,0.0000,0.0683,0.0000,200,5.3480
0.0695,0.0000,0.0000,0.0000,0.0694,0.0000,200,5.4163
0.0704,0.0000,0.0000,0.0000,0.0703,0.0001,200,5.4858
0.0737,0.0000,0.0000,0.0000,0.0736,0.0001,200,5.5563
0.0690,0.0000,0.0000,0.0000,0.0689,0.0000,200,5.6300
0.0661,0.0000,0.0000,0.0000,0.0660,0.0001,200,5.6990
0.0679,0.0000,0.0000,0.0000,0.0678,0.0001,200,5.7651
0.0695,0.0000,0.0000,0.0000,0.0694,0.0000,200,5.8330
0.0684,0.0000,0.0000,0.0000,0.0683,0.0001,200,5.9025
0.0681,0.0000,0.0000,0.0000,0.0680,0.0000,200,5.9708
0.0782,0.0000,0.0000,0.0000,0.0782,0.0000,200,6.0390
0.0605,0.0000,0.0000,0.0000,0.0604,0.0000,200,6.1172
0.0609,0.0000,0.0000,0.0000,0.0608,0.0001,200,6.1777
0.0613,0.0000,0.0000,0.0000,0.0612,0.0001,200,6.2386
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,6.2999
0.0614,0.0000,0.0000,0.0000,0.0613,0.0000,200,6.3655
0.0611,0.0000,0.0000,0.0000,0.0610,0.0000,200,6.4269
0.0623,0.0000,0.0000,0.0000,0.0623,0.0001,200,6.4880
0.0602,0.0000,0.0000,0.0000,0.0601,0.0000,200,6.5504
0.0622,0.0000,0.0000,0.0000,0.0622,0.0000,200,6.6105
0.0614,0.0000,0.0000,0.0000,0.0613,0.0001,200,6.6728
0.0610,0.0000,0.0000,0.0000,0.0610,0.0000,200,6.7342
0.0615,0.0000,0.0000,0.0000,0.0614,0.0001,200,6.7952
0.0594,0.0000,0.0000,0.0000,0.0594,0.0001,200,6.8567
0.0627,0.0000,0.0000,0.0000,0.0626,0.0001,200,6.9161
0.0637,0.0000,0.0000,0.0000,0.0636,0.0000,200,6.9789
0.0738,0.0000,0.0000,0.0000,0.0737,0.0001,200,7.0426
0.0686,0.0000,0.0000,0.0000,0.0685,0.0000,200,7.1164
0.0683,0.0000,0.0000,0.0000,0.0683,0.0000,200,7.1850
0.0721,0.0000,0.0000,0.0000,0.0720,0.0000,200,7.2533
0.0716,0.0000,0.0000,0.0000,0.0715,0.0000,200,7.3254
0.0684,0.0000,0.0000,0.0000,0.0683,0.0001,200,7.3970
0.0676,0.0000,0.0000,0.0000,0.0675,0.0000,200,7.4654
0.0778,0.0000,0.0000,0.0000,0.0777,0.0000,200,7.5330
0.0696,0.0000,0.0000,0.0000,0.0695,0.0001,200,7.6108
0.0683,0.0000,0.0000,0.0000,0.0682,0.0000,200,7.6804
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,7.7487
0.0680,0.0000,0.0000,0.0000,0.0679,0.0001,200,7.8172
0.0686,0.0000,0.0000,0.0000,0.0685,0.0000,200,7.8852
0.0715,0.0000,0.0000,0.0000,0.0714,0.0000,200,7.9537
0.0710,0.0000,0.0000,0.0000,0.0709,0.0000,200,8.0252
0.0742,0.0000,0.0000,0.0000,0.0741,0.0000,200,8.0963
0.0665,0.0000,0.0000,0.0000,0.0665,0.0000,200,8.1704
0.0680,0.0000,0.0000,0.0000,0.0679,0.0001,200,8.2370
0.0742,0.0000,0.0000,0.0000,0.0741,0.0000,200,8.3050
0.0748,0.0000,0.0000,0.0000,0.0748,0.0000,200,8.3792
0.0712,0.0000,0.0000,0.0000,0.0711,0.0000,200,8.4540
0.0725,0.0000,0.0000,0.0000,0.0724,0.0000,200,8.5253
0.0699,0.0000,0.0000,0.0000,0.0698,0.0001,200,8.5977
0.0750,0.0000,0.0000,0.0000,0.0749,0.0000,200,8.6676
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,200,8.7426
0.0690,0.0000,0.0000,0.0000,0.0689,0.0000,200,8.8115
0.0669,0.0000,0.0000,0.0000,0.0669,0.0000,200,8.8805
0.0651,0.0000,0.0000,0.0000,0.0650,0.0001,200,8.9474
0.0755,0.0000,0.0000,0.0000,0.0754,0.0000,200,9.0126
0.0723,0.0000,0.0000,0.0000,0.0722,0.0001,200,9.0881
0.0674,0.0000,0.0000,0.0000,0.0673,0.0001,200,9.1605
0.0734,0.0000,0.0000,0.0000,0.0733,0.0001,200,9.2279
0.0664,0.0000,0.0000,0.0000,0.0663,0.0000,200,9.3013
0.0714,0.0000,0.0000,0.0000,0.0713,0.0000,200,9.3678
0.0683,0.0000,0.0000,0.0000,0.0682,0.0000,200,9.4392
0.0668,0.0000,0.0000,0.0000,0.0667,0.0001,200,9.5075
0.0673,0.0000,0.0000,0.0000,0.0672,0.0001,200,9.5743
0.0679,0.0000,0.0000,0.0000,0.0679,0.0001,200,9.6416
0.0675,0.0000,0.0000,0.0000,0.0674,0.0000,200,9.7095
0.0762,0.0000,0.0000,0.0000,0.0761,0.0000,200,9.7770
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,9.8532
0.0675,0.0000,0.0000,0.0000,0.0674,0.0000,200,9.9200
0.0696,0.0000,0.0000,0.0000,0.0695,0.0001,200,9.9875
0.0702,0.0000,0.0000,0.0000,0.0701,0.0000,200,10.0571
0.0692,0.0000,0.0000,0.0000,0.0691,0.0000,200,10.1273
0.0705,0.0000,0.0000,0.0000,0.0705,0.0000,200,10.1965
0.0686,0.0000,0.0000,0.0000,0.0684,0.0001,200,10.2670
0.0728,0.0000,0.0000,0.0000,0.0727,0.0001,200,10.3356
0.0774,0.0000,0.0000,0.0000,0.0774,0.0000,200,10.4084
0.0671,0.0000,0.0000,0.0000,0.0670,0.0000,200,10.4858
0.0829,0.0000,0.0000,0.0000,0.0829,0.0001,200,10.5529
0.0644,0.0000,0.0000,0.0000,0.0643,0.0000,200,10.6359
0.0626,0.0000,0.0000,0.0000,0.0626,0.0001,200,10.7003
0.0606,0.0000,0.0000,0.0000,0.0605,0.0000,200,10.7629
0.0615,0.0000,0.0000,0.0000,0.0615,0.0000,200,10.8236
