timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,1003592,2,1007244,2,991380,2
60,1056920,2,1051464,2,1019364,2
120,1074740,2,1131852,2,1127604,2
180,1136252,2,1192044,2,1200600,2
240,1193144,2,1231380,2,1239276,2
300,1226540,2,1310580,2,1277424,2
360,1290956,2,1343052,2,1327320,2
420,1317224,2,1399020,2,1356096,2
480,1391672,2,1384368,2,1372708,2
540,1422956,2,1454592,2,1411516,2
600,1440776,2,1494324,2,1447420,2
660,1482752,2,1520988,2,1473952,2
720,1521824,2,1490892,2,1553284,2
780,1536608,2,1543824,2,1509328,2
840,1478396,1,1611748,2,1601464,3
900,1640888,2,1503904,2,1485168,2
960,1617656,1,1610032,3,1530388,2
1020,1626104,1,1608052,2,1643776,3
1080,1645244,1,1656000,3,1624472,2
1140,1720880,1,1650192,2,1600680,3
1200,1795460,1,1549740,2,1641468,3
1260,1799420,1,1593596,2,1671960,3
1320,1880276,1,1565876,2,1587876,3
1380,1882256,1,1598876,2,1665756,3
1440,1912012,1,1550536,2,1689476,3
1500,1973452,1,1635148,2,1627964,3
1560,1963812,1,1557928,2,1596152,3
1620,1956720,1,1283104,3,1249124,2
1680,1964924,1,1227004,2,1249388,3
1740,1943008,1,1199020,2,1280936,3
1800,1943008,1,1199020,3,1280936,2
