timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1070552,5,1070420,5,1068008,5,1068800,5
60,1323596,5,1371512,5,1355504,5,1463216,5
120,1346168,5,1356068,5,1348772,5,1368776,5
180,1352636,5,1392892,5,1420024,5,1363760,5
240,1390916,5,1339564,5,1392700,5,1411940,5
300,1426288,5,1313916,5,1357852,5,1423556,5
360,1398956,5,1376484,5,1382396,5,1422104,5
420,1405292,5,1410452,5,1329200,5,1379564,5
480,1378904,5,1409792,5,1451564,5,1346036,5
540,1413504,5,1384184,5,1402724,5,1358968,5
600,1408932,5,1450184,5,1426608,5,1342336,5
660,1385312,5,1441208,5,1418292,5,1344316,5
720,1395056,5,1377320,5,1452480,5,1438432,5
780,1373144,5,1354880,5,1348932,5,1408732,5
840,1350044,5,1393840,5,1423116,5,1416520,5
900,1389908,5,1387028,5,1407804,5,1446960,5
960,1397860,5,1362108,5,1419024,5,1386504,5
1020,1399280,5,1395636,5,1389852,5,1397196,5
1080,1369844,5,1380720,5,1373748,5,1389016,5
1140,1385552,5,1357224,5,1409256,5,1407576,5
1200,1392548,5,1391940,5,1386552,5,1460692,5
1260,1430036,5,1404260,5,1390908,5,1399840,5
1320,1405220,5,1425072,5,1385100,5,1418980,5
1380,1416836,5,1412796,5,1432356,5,1341628,5
1440,1418904,5,1446588,5,1402624,5,1324204,5
1500,1412304,5,1391412,5,1410412,5,1465180,5
1560,1441212,5,1384812,5,1432324,5,1367768,5
1620,1450320,5,1429576,5,1408168,5,1349288,5
1680,1354092,5,1416640,5,1412128,5,1434164,5
1740,1443060,5,1408588,5,1359592,5,1356020,5
1800,1445964,5,1364500,5,1411336,5,1368296,5
