timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1021908,5,965444,5,1001668,5,1027320,5
60,1097808,5,1039232,5,1045624,5,1044084,5
120,1480740,5,1509812,5,1454956,5,1440612,5
180,1546212,5,1556012,5,1445056,5,1469520,5
240,1538952,5,1551656,5,1447036,5,1497636,5
300,1541460,5,1555220,5,1445716,5,1498692,5
360,1547664,5,1584580,5,1435156,5,1501332,5
420,1582380,5,1554880,5,1481752,5,1531428,5
480,1595052,5,1558444,5,1439380,5,1512288,5
540,1581588,5,1556092,5,1482808,5,1534020,5
600,1585680,5,1541836,5,1461160,5,1520688,5
660,1555320,5,1562560,5,1462348,5,1556460,5
720,1550436,5,1584868,5,1463992,5,1545636,5
780,1581060,5,1549756,5,1470460,5,1513296,5
840,1533540,5,1598332,5,1494352,5,1526232,5
900,1577496,5,1599124,5,1450528,5,1512704,5
960,1594920,5,1568368,5,1478644,5,1534088,5
1020,1595052,5,1553780,5,1477588,5,1531052,5
1080,1606404,5,1550744,5,1451452,5,1529864,5
1140,1576968,5,1528568,5,1485640,5,1546232,5
1200,1577364,5,1565396,5,1483264,5,1509668,5
1260,1578288,5,1571072,5,1497124,5,1528044,5
1320,1583040,5,1571336,5,1464652,5,1542036,5
1380,1564852,5,1565664,5,1502932,5,1549956,5
1440,1615540,5,1580052,5,1463464,5,1536492,5
1500,1603528,5,1523820,5,1491052,5,1524612,5
1560,1572772,5,1578864,5,1480624,5,1521444,5
1620,1597852,5,1580052,5,1479820,5,1513260,5
1680,1585840,5,1598268,5,1465036,5,1517484,5
1740,1562740,5,1569360,5,1490248,5,1559988,5
1800,1592176,5,1568436,5,1479556,5,1514448,5
